優先度,企業名,業界,軸,ステータス,次アクション,ES締切,夏IS締切,本選考接続度,テスト種別,面接予定,メモ
S,三菱商事,総合商社,1,未着手,career-mc.com 28登録→IS公開待ち（現在未発表）,要調査,未発表（career-mc.com 28ログイン後要確認）,要確認（27卒は3月/6月選考のみ・IS枠は別途設定の可能性）,テストセンター+AI面接（公式確認済み・TC種別はC-GAB/SPI不明）,,ベンチマーク。滋賀大→MC前例あり(大脇氏)。28卒向けIS未発表。公式セミナー情報「今後のスケジュールは未定」
S,三井物産,総合商社,1,未着手,夏WSは本選考無関係→冬の選考型ISを狙う,要調査,2026-07-15,C（公式明記・本選考に関係なし）,❌C-GABテストセンター(冬インターン選考型),,夏ワークショップ=ネットワーキング目的のみ。本命は冬クール選考型IS
S,伊藤忠商事,総合商社,1,未着手,マイページ登録・日程調査,要調査,要調査,要確認,⚠️C-GAB TC主流/一部玉手箱報告(△),,個の力・現場主義との接続。テスト形式要確認
S,住友商事,総合商社,1,未着手,【緊急】AI面接 7/1締切。適性検査は6/25済み→AI面接のみ残。,要調査,2026-07-01,A（本選考一部免除と公式明記）,❌C-GABテストセンター(◎一次情報確定・丸紅と流用可),,夏IS=Hands-on 9/2〜9/11・8日間。本選考直結A確定。7/1 AI面接締切は最優先
S,丸紅,総合商社,1,未着手,【緊急】ES 7/1 23:59締切・AIケース面接あり,2026-07-01,2026-07-01,B（非公式報告あり・公式未明記）,⚠️要確認（公式は「適性検査」とのみ記載）,,ゼミ先輩内定あり。3日間（8/25〜27 or 9/14〜16）。テスト種別が鍵
A,双日,総合商社,1,ESほぼ完成,第3クール ES締切 7/21・CSV更新済み,2026-07-21,2026-07-21,要確認,❌C-GABテストセンター(◎公式),,ゼミ先輩内定あり。❌C-GABのため優先度要検討
A,日本郵船,海運,2,未着手,テストセンター確定→後回し・秋IS低優先,要調査,要調査,要確認,❌SPIテストセンター(◎体験談多数),,ゼミ先輩8名。テストセンター確定→後回し
A,商船三井,海運,2,未着手,陸上職コース確認・テストSPIのため低優先,要調査,要調査,B（OB斡旋あり）,❌SPI（松井向きでない・陸上職も要確認）,,26卒佐藤氏(ゼミ)入社。陸上職でもSPIの報告あり→後回し
A,川崎汽船,海運,2,未着手,Advanced 2days（玉手箱+動画）のみ検討・Basicは本選考接続なし,要調査,要調査,C（公式で優遇なしと明言）,✅玉手箱Web（Advancedコースのみ・Basicはテストなし）,,接続度C確定。海運業界理解目的なら参加可。玉手箱は使える
A,トヨタ自動車,自動車,2,未着手,toyota-saiyo.snar.jp で事務系IS確認（2DAYS・応募受付中確認済み）,要調査,要調査,要確認,⚠️独自orSPI（公式に記載なし・要体験談確認）,,analyzer実走済み。KINTO受賞の縁。事務系2DAYS IS存在確認（Puppeteer公式確認）
A,NTTデータ,IT/DX,3,未着手,テストセンター確定→後回し,要調査,要調査,要確認,❌SPI TC＋TAL Web 2段階(◎体験談),,タイツアー(NTT Data Thailand)と接続。TC確定→後回し
A,サントリー,食品,2,未着手,【超緊急】FA（財務）コース=6月締切の可能性大→今日マイページで確認してエントリー,要調査,⚠️6月中（FAコース）/ 他コースは7〜8月順次,A（選考直結型・初期配属確約と公式明記）,✅玉手箱Web(◎体験談多数),,FAコース: 8/26〜9/1・7日間・10名。接続度A★★★。今日締切の可能性大→即確認要
A,ENEOS,エネルギー,2,未着手,【最緊急6/30 3時】マイページ登録→夏IS締切確認,要調査,要確認（9月開催・マイページ）,A（内定者の約半数が早期選考経由）,✅玉手箱Web＋動画選考1分(◎体験談),,ゼミ先輩あり。倍率73倍。本選考直結A★★★。6/30 3時マイページ登録締切
